id,title,title_sanskrit,domain,subdomain,summary,dosha_type,seasonal_relevance,state_of_origin,gen_z_hook,authenticity_score,source_url,tags,health_benefits,ingredients,keywords
7aa18679a449,Turmeric (Haldi) — The Golden Spice,Haridra (हरिद्रा),Ayurveda,Anti-inflammatory Herbs,"Curcuma longa, known as haldi, is the most studied medicinal plant on Earth with over 12,000 peer-reviewed papers. Its primary compound curcumin is a potent anti-inflammatory, antioxidant, and antimicrobial agent. Ayurveda has used it for 4000+ years for wound healing, digestion, and immunity.",All doshas (tridoshic),All seasons,All India (Meghalaya produces world's finest),"12,000 research papers. One spice. Your kitchen has had it all along. 💛",1.0,https://www.tkdl.res.in,digestion|immunity|kitchen-ingredients|rasayana|science-backed|skin|tridoshic,Immunity|Inflammation|Wound Healing|Digestion|Skin|Joint Pain|Liver,Turmeric|Black Pepper|Milk|Honey|Ghee,turmeric|curcumin|inflammatory|antioxidant|digestion|black|pepper|honey|curcuma|longa
73a25ac68d4f,Ashwagandha — The Horse of Herbs,Ashwagandha (अश्वगंधा) — Withania somnifera,Ayurveda,Rasayana — Adaptogens,"Ashwagandha is Ayurveda's premier adaptogenic rasayana. Its name means 'smell of horse' implying it grants equine strength. Clinical research confirms it significantly reduces cortisol, builds muscle, improves sleep, and enhances cognitive function.","Vata, Kapha",Winter,"Madhya Pradesh, Rajasthan (Manasa region produces finest quality)",Andrew Huberman's #1 supplement? Ashwagandha. Your dadi's? Also Ashwagandha. Since forever. 🐎,1.0,https://www.tkdl.res.in,5-minutes|anxiety|energy|immunity|kapha|kitchen-ingredients|memory|rasayana|science-backed|sleep|stress|vata,Stress|Anxiety|Sleep|Energy|Testosterone|Muscle Strength|Immunity|Thyroid,Ashwagandha Root Powder|Warm Milk|Honey|Ghee|Saffron,ashwagandha|rasayana|significantly|cortisol|muscle|sleep|withanolides|recovery|twice|daily
f8b8519af759,Tulsi — Queen of Herbs,Tulasi (तुलसी) — Ocimum tenuiflorum,Ayurveda,Sacred Medicinal Plants,"Tulsi is both the most sacred plant in Hinduism and one of the most pharmacologically active. It is grown in nearly every Indian home. Modern science confirms it is a potent adaptogen, antimicrobial, immunomodulator, and respiratory healer.","Vata, Kapha","Monsoon, Winter",All India (originated in northeast India),"Adaptogens are a $14B industry. Tulsi did it first, for free, in your courtyard. 🌿",1.0,https://www.tkdl.res.in,5-minutes|anxiety|immunity|kapha|kitchen-ingredients|rasayana|science-backed|skin|stress|vata,Immunity|Respiratory|Stress|Fever|Cold|Cough|Skin|Dental|Ear,Tulsi Leaves|Ginger|Black Pepper|Honey|Lemon,tulsi|active|leaves|adaptogen|respiratory|fresh|minutes|juice|daily|stress
b523a17000a1,Neem — Village Pharmacy in a Tree,Nimba (निम्ब) — Azadirachta indica,Ayurveda,Medicinal Trees,"Neem is the world's most researched botanical with 4000+ published studies. Every part — leaves, bark, seeds, oil, roots, flowers — has documented medicinal uses. It is the original 'full-stack' pharmacy, freely available to every Indian village.","Pitta, Kapha","Summer, Monsoon",All India (native to Indian subcontinent),One tree. 4000 studies. Grows for free. No patent possible. That's why Big Pharma hates it. 🌳,1.0,https://www.tkdl.res.in,hair|immunity|kapha|kitchen-ingredients|pitta|rasayana|science-backed|skin|zero-cost,Skin|Dental|Hair|Blood Purification|Wounds|Acne|Immunity|Malaria Prevention,Neem Leaves|Neem Bark|Neem Oil|Neem Powder|Coconut Oil,leaves|every|original|paste|apply|scalp|water|natural|toxic|internally
5022ae939e25,Amla — Immortal Fruit of Ayurveda,Amalaki (आमलकी) — Phyllanthus emblica,Ayurveda,Rasayana Fruits,"Amla (Indian Gooseberry) contains the highest natural Vitamin C of any food — 600-700mg per 100g, nearly 20 times more than oranges. Unlike synthetic Vitamin C, amla's tannins protect the ascorbic acid even during cooking. Considered the most important rasayana fruit in all of Ayurveda.",All doshas (tridoshic),Winter (fresh season),"All India (Pratapgarh, UP produces most)",Vitamin C supplements didn't exist in 1000 BCE. Amla did. 20x more than an orange. 🍏,0.92,https://www.tkdl.res.in,5-minutes|digestion|festival|for-elderly|hair|immunity|kitchen-ingredients|rasayana|skin|tridoshic,Immunity|Hair|Eye Health|Digestion|Diabetes|Liver|Skin|Cholesterol,Amla (Fresh or Dried)|Honey|Ginger|Black Pepper|Sesame Seeds,juice|vitamin|reduces|unlike|synthetic|tannins|protect|ascorbic|water|honey
fe5197f38a8c,Giloy (Guduchi) — The Root of Immortality,Guduchi (गुडूची) — Tinospora cordifolia,Ayurveda,Immunomodulatory Herbs,"Giloy is called 'Amrita' — the nectar of immortality in Sanskrit — because it is one of only three plants mentioned in the Charaka Samhita as 'Rasayanas for all disorders'. It is Ayurveda's most powerful immunomodulator, confirmed by multiple clinical trials.",All doshas (tridoshic),Monsoon,All India (abundant in Himalayan foothills),This herb literally means 'immortality nectar' in Sanskrit. It survived 5000 years of Indian medicine for a reason. ⚡,1.0,https://www.tkdl.res.in,ayush-approved|digestion|immunity|kitchen-ingredients|rasayana|tridoshic,Immunity|Fever|Dengue|Arthritis|Diabetes|Liver|Digestion|Allergies,Giloy Stem|Tulsi|Black Pepper|Honey,giloy|fresh|water|strain|juice|twice|daily|increases|reduces|joint
c3b826942853,Brahmi — Brain Tonic of the Gods,Brahmi (ब्राह्मी) — Bacopa monnieri,Ayurveda,Nootropic Herbs (Brain Herbs),"Brahmi is Ayurveda's foremost brain herb, used for thousands of years to enhance memory, learning, and concentration. Children in gurukuls were given Brahmi before lessons. Modern neuroscience confirms it grows dendrites, reduces anxiety, and protects against Alzheimer's through multiple mechanisms.","Pitta, Vata",All seasons,All India (wetlands and water bodies),"Ancient monks memorised 100,000-verse texts using this herb. You need to remember a 10-page essay. 🧠",1.0,https://www.tkdl.res.in,5-minutes|anxiety|festival|for-children|hair|kitchen-ingredients|memory|pitta|rasayana|stress|vata|zero-cost,Memory|Focus|Anxiety|ADHD|Epilepsy|Hair|Alzheimer's Prevention,Brahmi Powder|Warm Milk|Honey|Ghee|Almonds,brahmi|memory|children|reduces|alzheimer|honey|leaves|ashwagandha|significant|ayurveda
76e1eadb17ce,Triphala — Three-Fruit Master Formula,Triphala (त्रिफला) — Amalaki + Haritaki + Bibhitaki,Ayurveda,Classical Formulations,"Triphala is Ayurveda's most celebrated formula — a precise blend of three fruits that balance all three doshas, support complete digestion, act as a prebiotic, and have more antioxidant activity than most single superfoods. It is the most referenced formulation in the Charaka Samhita.",All doshas (tridoshic),All seasons,Classical formulation from multiple regions,Three fruits. One formula. Balances all three body types. 2500 years before personalised medicine. 🫙,0.92,https://www.tkdl.res.in,5-minutes|detox|digestion|immunity|kitchen-ingredients|rasayana|science-backed|skin|tridoshic,Digestion|Detox|Eye Health|Dental|Weight|Immunity|Skin|Cholesterol,Amla (Amalaki)|Haritaki (Chebulic Myrobalan)|Bibhitaki (Baheda),triphala|water|three|prebiotic|antioxidant|health|extract|cells|ayurveda|celebrated
00f9fb7752e3,Shatavari — The Herb of 100 Roots,Shatavari (शतावरी) — Asparagus racemosus,Ayurveda,Women's Health / Rasayana,"Shatavari means 'she who possesses a hundred husbands' — reflecting its role as the primary Ayurvedic herb for women's reproductive health across all life stages. It is a powerful phytoestrogen, galactagogue (increases breast milk), and adaptogen that supports hormonal balance.","Pitta, Vata",All seasons,"All India (Himachal Pradesh, Bihar)","PCOS, menopause, postpartum — Ayurveda had one herb for all of it. 5000 years before gynecology. 🌺",0.94,https://www.tkdl.res.in,5-minutes|digestion|for-women|immunity|kitchen-ingredients|pitta|rasayana|science-backed|vata|who-validated,Menstrual Health|Fertility|Menopause|Breast Milk|Hormonal Balance|Immunity|Digestion,Shatavari Powder|Warm Milk|Honey|Ghee,shatavari|daily|galactagogue|increases|adaptogen|menopausal|symptoms|twice|ashwagandha|comparable
a525ddd2ba37,Shilajit — Exudate of the Mountains,Shilajit (शिलाजीत) — Mineral Pitch,Ayurveda,Mineral Medicines (Khanjara),"Shilajit is a sticky resinous substance exuded from Himalayan rocks formed over millennia from compressed plant matter. It contains 85+ minerals in ionic form, fulvic acid, and humic acid. Ayurveda calls it 'Yoga Vahi' — the carrier that amplifies the benefits of every herb taken with it.","Vata, Kapha",Winter,"Himalayan region (Himachal Pradesh, Uttarakhand, Ladakh)",Himalayan mountains literally sweat out medicine. And it's been in Ayurveda for 3000 years. ⛰️,0.94,https://www.tkdl.res.in,5-minutes|energy|for-elderly|immunity|kapha|kitchen-ingredients|rasayana|vata|yoga,Energy|Testosterone|Fertility|Altitude Sickness|Immunity|Cognitive|Bone Health|Anti-aging,Shilajit (resin or powder)|Warm Water or Milk|Honey,shilajit|weeks|increases|himalayan|fulvic|amount|sticky|resinous|substance|exuded
